TV,Radio,Social Media,Influencer
86.0,24.31804069,4.732207886,Mega
70.0,21.17876903,1.700145413,Macro
19.0,4.894410734,0.147196027,Macro
45.0,25.54478363,4.020040406,Mega
83.0,24.57464264,6.190653254,Macro
34.0,19.68456771,5.02955855,Macro
82.0,26.52121969,8.80643288,Macro
65.0,21.82868204,3.852364912,Macro
73.0,22.86737608,0.968984226,Nano
73.0,15.85081095,3.055215876,Mega
35.0,15.07233814,0.928096772,Macro
49.0,11.1856596,1.117540683,Nano
25.0,1.896591048,1.966394722,Micro
33.0,8.183954068,0.147169499,Nano
43.0,13.70486746,2.218968013,Nano
10.0,12.20122965,2.452274641,Macro
97.0,32.81499473,6.469135436,Mega
27.0,8.720237277,1.05124005,Micro
54.0,9.42171819,0.760326336,Macro
80.0,28.50516115,5.403039713,Mega
67.0,23.74360068,2.231237256,Micro
70.0,20.91279178,4.007210363,Mega
38.0,16.08943737,2.525347278,Micro
31.0,16.8762305,1.04950058,Macro
40.0,8.854991222,0.149939278,Mega
29.0,6.059626048,2.206644363,Mega
57.0,23.27044919,5.741407966,Micro
81.0,28.10521,5.05968854,Micro
85.0,27.11256453,5.223855748,Mega
18.0,1.056114844,0.748769308,Micro
14.0,11.24439034,2.602426966,Mega
57.0,23.74241823,2.585252416,Micro
39.0,19.19282825,1.538106706,Macro
98.0,37.57095206,8.529604366,Mega
71.0,30.93431708,4.066906068,Macro
50.0,19.41204366,0.188385566,Mega
58.0,22.8094174,6.16708512,Nano
94.0,33.99373618,5.491583816,Nano
62.0,24.37251496,4.798782837,Nano
46.0,14.77131146,2.053779217,Micro
20.0,3.799751394,2.624138468,Mega
47.0,8.321261321,2.224663337,Mega
60.0,22.60144502,6.898288302,Macro
42.0,10.01903472,0.191093711,Nano
64.0,19.21061664,3.087815141,Macro
97.0,32.49473058,6.186571761,Macro
60.0,23.52912897,2.915714279,Nano
74.0,19.41571685,2.783297563,Mega
77.0,25.66988236,2.14056622,Micro
54.0,18.3171069,2.118813045,Micro
35.0,19.97502187,3.222876164,Nano
31.0,6.168740958,1.04364922,Nano
21.0,15.77276268,1.943856468,Nano
64.0,25.52828252,3.140870036,Nano
52.0,18.15994431,0.318088036,Mega
53.0,15.31054288,2.280185979,Macro
18.0,9.714072444,3.383355406,Mega
70.0,14.86819499,5.769506631,Micro
44.0,22.68889721,1.209024214,Mega
65.0,21.07836064,3.607061612,Mega
22.0,4.631875016,1.714052811,Micro
97.0,39.72720142,5.700071103,Micro
40.0,19.53033704,2.761218278,Micro
41.0,9.556845464,1.356011738,Micro
14.0,3.047946161,0.998475322,Mega
87.0,25.30886812,0.888742374,Macro
42.0,25.88765729,3.593714636,Nano
100.0,36.07233519,7.343767899,Micro
37.0,1.555588154,0.019312963,Macro
39.0,10.42906573,4.37599992,Macro
62.0,24.17106528,6.347881927,Nano
69.0,25.03470033,9.204856494,Macro
100.0,30.43535718,5.012795155,Mega
86.0,24.78624404,6.349962293,Mega
96.0,32.60250268,0.539458042,Micro
60.0,29.73254005,2.01239532,Mega
98.0,34.03836813,3.568004941,Nano
29.0,5.147269556,0.515674511,Macro
,7.635819371,1.554145839,Macro
40.0,7.852243612,0.349657474,Micro
31.0,9.957561981,0.387034004,Micro
51.0,13.87461816,3.553056769,Nano
64.0,20.24042393,3.921147972,Micro
35.0,3.862101912,1.207369381,Micro
23.0,5.564666466,0.327746146,Nano
53.0,14.44984131,1.122940162,Mega
12.0,7.525871114,4.351137632,Nano
77.0,21.52322437,3.905081353,Nano
86.0,28.64511969,4.707488062,Nano
66.0,14.56091329,6.555528147,Nano
74.0,22.67960376,3.535072235,Mega
21.0,5.417999563,4.626973896,Mega
82.0,35.19842223,5.380117436,Mega
64.0,17.61714144,5.116676896,Micro
47.0,19.42239584,3.602285923,Macro
83.0,36.0042875,6.299889469,Nano
28.0,9.184659403,0.686658382,Micro
50.0,22.22292707,3.600054733,Nano
14.0,7.388485707,0.120490397,Mega
39.0,13.18725635,2.766352269,Macro
32.0,9.28981776,1.167053883,Mega
43.0,5.53180147,0.738537115,Macro
54.0,14.3343517,4.555541139,Mega
40.0,14.40248296,2.874709242,Micro
77.0,28.94958279,1.239417276,Micro
30.0,10.30888202,1.221518819,Macro
